Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110KEL 463602,教學實習一,Teaching Internship (I) 	,"王為國 WANG, WEI-KUO, 馮汝琪 FENG,JU-CHI",16,84.50,2.32
11110KEL 500500,課程與教學設計研究,Study in Curriculum and Instructional Design 	,"詹惠雪 CHAN, HUI-HSUEH",11,87.91,2.11
11110KEL 502300,特色學校經營研究,Management of Characteristic School 	,"林志成 LIN, CHIH-CHENG",26,90.27,4.10
11110KEL 502600,教育史專題研究,Special Issues in History of Education 	,"彭煥勝 PENG, HUAN-SHENG",20,4.00,0.09
11110KEL 600800,教學實務專題研究,Special Issues in Teaching Affairs 	,"王為國 WANG, WEI-KUO",7,88.29,2.05
11110KEL 700100,教育學方法論,Methodology of Educational Research 	,"蘇永明 SHU, YUNG-MING, 林志成 LIN, CHIH-CHENG",10,85.70,2.05
11110KEL 702800,資訊科技與教育研究專題,Seminar on Information Technologies and Educational Studies 	,"王子華 WANG, TZU-HUA, 王淳民 WANG, CHUN-MIN, 邱富源 CHIU, FU-YUAN",9,89.56,0.83
11110KEL 703100,教學理論研究,Study in Teaching Theories 	,"陳美如 CHEN, MEI-JU",16,88.69,2.17
11110KEL 703300,教育行政研究,Study in Educational Administration 	,"謝卓君 HSIEH, CHUO-CHUN",13,4.14,0.15
11110KEL 704300,學校創新經營與創意教學研究,The Innovation of School Leadership and Teaching 	,"謝傳崇 HSIEH, CHUAN-CHUNG, 簡瑋成 CHIEN, WEI-CHENG",11,84.91,16.71
11110KEL 704400,專業發展與組織文化研究,Study in Professional Development and Organizational Culture 	,"林志成 LIN, CHIH-CHENG, 童鳳嬌 TUNG, FENG-CHIAO",12,91.83,3.69
11110KEL 801100,當代教育思潮研究,Study in Movements of Thought in Modern Education 	,"蘇永明 SHU, YUNG-MING",18,86.00,3.23
11110KEL 801700,教學媒材製作與應用,Educational Media Development and Application 	,"邱富源 CHIU, FU-YUAN, 邱茗伊 CHIU, MING-YI",34,91.62,2.82
11110KEL 801800,多元評量研究,Study in Alternative Assessment 	,"林倍伊 LIN, PEI-YI",10,4.09,0.19
11110KEL 804000,教育政策專題研究,Special Issues in Educational Policy 	,"顏國樑 YEN, KUO-LIANG",14,90.29,1.48
11110KEL 804600,課程領導,Curriculum Leadership 	,"鄭淵全 CHENG, YUAN-CHUAN",7,90.29,2.49
11110KEL 805100,國際交流與海外研修,International Exchange and Learning Aboard 	,"謝傳崇 HSIEH, CHUAN-CHUNG, 曾煥淦 TSENG, HUAN-KAN",8,88.38,5.02
11110KEL 805400,運動科技與器材設計研究,Study in Sports Technology and Sports Equipment Design 	,"邱文信 CHIU, WEN-HSIN",10,89.10,3.14
11110KEL 806300,高等教育專題研究,Special Issues in Higher Education 	,"謝卓君 HSIEH, CHUO-CHUN",4,4.23,0.13
11110KELN500200 課程理論研究,Study,in Curriculum Theories 	,"詹惠雪 CHAN, HUI-HSUEH",20,87.35,2.55
11110KELN500300 研究方法-質性研究,Qualitative,Research Methods 	,"彭煥勝 PENG, HUAN-SHENG, 王為國 WANG, WEI-KUO",19,83.42,2.37
11110KELN501401 教學媒材製作與應用,Educational,Media Development and Application 	,"邱富源 CHIU, FU-YUAN",26,90.92,1.21
11110KELN502000 課室觀察研究,Classroom,Observation 	,"白雲霞 PAI, YUN-HSIA",16,90.50,1.17
11110KELN502500 跨領域STEAM教育專題研究,Study,in Interdisciplinary STEAM Education 	,"邱富源 CHIU, FU-YUAN",33,91.39,1.54
11110KELN505100 量的研究法,Quantitative,Research Methods 	,"李元萱 LEE, YUAN-HSUAN",15,87.47,3.46
11110KELN505200 質的研究法,Qualitative,Research Methods 	,"王為國 WANG, WEI-KUO, 彭煥勝 PENG, HUAN-SHENG",15,82.33,3.26
11110KELN506500 教育政策專題研究,Special,Issues in Educational Policy 	,"顏國樑 YEN, KUO-LIANG",23,91.04,1.65
11110KELN510400 教育行政研究,Study,in Educational Administration 	,"謝卓君 HSIEH, CHUO-CHUN",15,4.16,0.15
11110KELN510500 學校行政專題研究,Special,Issues in School Administration 	,"顏國樑 YEN, KUO-LIANG",18,91.22,1.27
11110KELN510600 學校組織行為分析,Study,in School Organizational Behavior 	,"鮑世青 BAW, SHYH-CHING",19,4.00,0.00
11110KELN511400 公關行銷與社區發展研究,Study,in Public Relation, Marketing and Community Development 	,"林志成 LIN, CHIH-CHENG",6,91.50,2.93
11110KELN511900 專業發展與組織文化研究,Study,in Professional Development and Organizational Culture 	,"林志成 LIN, CHIH-CHENG",3,89.67,0.94
11110KELN512400 學校創新經營與創意教學研究,The,Innovation of School Leadership and Teaching 	,"謝傳崇 HSIEH, CHUAN-CHUNG",14,91.29,1.33
11110KELN600500 教學實務專題研究,Special,Issues in Teaching Affairs 	,"陳美如 CHEN, MEI-JU",18,89.28,1.41
11110KELN605900 教育行動研究,Educational,Action Research 	,"林志成 LIN, CHIH-CHENG",23,91.74,2.33
11110KELN606800 教育社會學專題研究,Study,in Sociology of Education 	,"楊慧琪 YANG, HUEI-CHI",24,93.04,1.57
11110KELN610300 高等統計與電腦軟體運用,Advanced,Statistics and Application of Computer Software 	,"賴文堅 LAI, WEN-CHIEN",3,4.00,0.00
11110KELN610800 教育政策分析研究,Study,in Educational Policy Analysis 	,"顏國樑 YEN, KUO-LIANG",26,90.50,1.39
11110KELN612000 國際交流與海外研修,International,Exchange and Learning Aboard 	,"謝傳崇 HSIEH, CHUAN-CHUNG",9,91.33,1.76
11110KENI100100 英文一,English,I 	,"余立棠 YU, LI-TANG",40,3.48,0.78
11110KENI110200 西洋文學概論,Introduction,to Western Literature 	,"詹智婷 CHAN, CHIH-TING",42,79.10,10.16
11110KENI110600 英語語音學,English,Phonetics 	,"吳睿純 WU, JUI-CHUN",54,76.06,12.91
11110KENI130400 英文繪本選讀,Selected,Readings on English Picture Books 	,"楊榮蘭 YANG, RONG-LAN",55,79.13,7.01
11110KENI130900 廿世紀新思潮導讀,Understanding,Great Minds of the 20th Century 	,"金祖詠 KING, TZUU-YEONG",38,85.71,3.43
11110KENI200300 英文三,English,III 	,"詹智婷 CHAN, CHIH-TING",29,83.72,8.52
11110KENI210700 英國文學,English,Literature 	,"鄧宜菁 TENG, YI-CHING",41,78.10,6.88
11110KENI220100 英語教學概論,Introduction,to TESOL Methodology 	,"楊榮蘭 YANG, RONG-LAN",45,75.07,10.52
11110KENI231000 英文兒童文學,English,Children's Literature 	,"林嘉瑜 LIN, CHIA-YU",36,81.94,10.90
11110KENI231200 進階法語,Advanced,French 	,"鄧宜菁 TENG, YI-CHING",19,80.47,9.23
11110KENI231300 英語句法學,English,Syntax 	,"黃漢君 HUANG, HAN-CHUN",15,77.53,13.14
11110KENI231800 英語聽講訓練,Practice,in English Listening and Speaking 	,"王國樹 WANG, KUO-SHU",39,87.59,1.97
11110KENI320300 英語教材教法,TESOL,Methods Course 	,"簡靜雯 CHIEN, CHIN-WEN",49,83.41,15.16
11110KENI331800 社會語言學,Sociolinguistics,	,"吳睿純 WU, JUI-CHUN",25,76.60,9.93
11110KENI331900 美國文學,American,Literature 	,"金祖詠 KING, TZUU-YEONG",37,84.14,6.41
11110KENI332100 中英對比分析,Contrasting,Analysis: English and Chinese 	,"黃漢君 HUANG, HAN-CHUN",36,80.56,13.41
11110KENI340600 英語讀寫教學,English,Reading and Writing Instruction 	,"周秋惠 CHOU, CHIOU-HUI",15,89.20,4.10
11110KENI420600 英語教學評量,English,Language Assessment 	,"余立棠 YU, LI-TANG",31,3.98,0.41
11110KENI420700 英語教學專題,Seminar,on TESOL Issues 	,"簡靜雯 CHIEN, CHIN-WEN",24,79.92,8.89
11110KENI432400 語言學專題,Seminar,on Linguistics 	,"黃漢君 HUANG, HAN-CHUN",13,85.00,5.49
11110KENI432500 歐洲文學,European,Literature 	,"鄧宜菁 TENG, YI-CHING",7,78.86,6.01
11110KENI441100 雙語教育,Bilingual,Education 	,"羅文杏 LUO, WEN-HSING",14,3.86,0.45
11110KENI510100 英語教學理論,Theories,of Teaching English as a Second Foreign Language 	,"周秋惠 CHOU, CHIOU-HUI",6,87.00,2.24
11110KENI530100 語言學研究,Studies,on Linguistics 	,"吳睿純 WU, JUI-CHUN",10,87.50,4.06
11110KENI540100 研究方法與論文寫作,Research,Methodology and Thesis Writing 	,"簡靜雯 CHIEN, CHIN-WEN",9,84.56,9.00
11110KENI620600 電腦輔助語言學習研究,Studies,on Computer Assisted Language Learning 	,"余立棠 YU, LI-TANG",9,4.03,0.17
11110KENI620700 雙語教育研究,Studies,on Bilingual Education 	,"羅文杏 LUO, WEN-HSING",14,3.93,0.25
11110KHCT100400 教育的國際視野,Global,Perspectives on Education 	,"教育學院 ",127,83.15,12.24
11110KHCT101500 農耕與生命發展,Farming,and Life Development 	,"成虹飛 CHERNG, HORN-FAY",15,4.13,0.34
11110KHCT401600 華德福學校/園所見習,Practicum,in Waldorf School and Kindergarten 	,"王智弘 WANG,CHIH-HUNG",10,90.60,1.36
11110KHCT401800 華德福藝術教學,Art,Teaching in Waldorf 	,"陳恬慧 CHEN, TIEN-HUI",10,90.60,1.28
11110KHCT500101 研究方法-質性研究,Qualitative,Research Methods 	,"呂秀蓮 LU, HSIU-LIEN",21,88.57,4.15
11110KHCT500102 研究方法-質性研究,Qualitative,Research Methods 	,"倪進誠 NI, CHIN-CHENG",20,88.20,4.89
11110KHCT500201 研究方法--量化研究,Research,Method: Quantitative Research 	,"李元萱 LEE, YUAN-HSUAN",17,3.97,0.53
11110KHCT500202 研究方法--量化研究,Research,Method: Quantitative Research 	,"林貴福 LIN, KUEI-FU",19,84.58,3.63
11110KHCT500203 研究方法--量化研究,Research,Method: Quantitative Research 	,"翁嘉遜 JASIN WONG",6,84.67,6.67
11110KHCT500204 研究方法--量化研究,Research,Method: Quantitative Research 	,"江旭新 CHIANG, HSU-HSIN",24,4.11,0.15
11110KHCT500205 研究方法--量化研究,Research,Method: Quantitative Research 	,"姚在府 YAO, ZAI-FU",24,90.71,3.34
11110KHCT500206 研究方法--量化研究,Research,Method: Quantitative Research 	,"姚在府 YAO, ZAI-FU",4,91.25,4.71
11110KIPE100100 教育與心智科學導論,Introduction,to Education and mind science 	,"莊鈞翔 CHUANG, CHUN-HSIANG",13,3.92,0.54
11110KIPE101100 學習與科技專題探究,Special,Topic on Learning and Technology 	,"曾郁庭 ZENG,YU-TING",29,79.86,16.00
11110KIPE101300 腦科學與教育,Mind,,Brain and Education 	,"王子華 WANG, TZU-HUA, 高千惠 KAO, CHIEN-HUI",35,85.49,6.98
11110KIPE101400 普通心理學,Introductory,Psychology 	,"陳伊慈 Chen, Eva E",33,3.07,0.74
11110KIPE120100 永續發展教育與環境素養,Sustainable,development education and environmental literacy 	,"倪進誠 NI, CHIN-CHENG, 曾慈慧 TSENG, TZU-HUI, 丁志堅 DING, TSU-JEN",22,87.50,4.62
11110KIPE121300 環境資源分析概論,Analysis,in Environmental Resource 	,"黃書偉 HUANG, SHU-WEI",23,87.65,6.33
11110KIPE121700 城鄉環境分析,Analysis,on Rural-urban environment 	,"倪進誠 NI, CHIN-CHENG",6,83.00,4.24
11110KIPE124100 永續發展教育與法治素養,Rule,of Law, Public Policy and Sustainable Development 	,"楊宗翰 YANG, CHUNG-HAN",15,89.07,2.24
11110KIPE221900 地理資訊系統概論,Introduction,of Geographic Information Systems 	,"丁志堅 DING, TSU-JEN",11,3.84,0.56
11110KIPE224500 公共政策,Public,Policy 	,"鄭國泰 CHENG, KUO-TAI",9,82.44,6.29
11110KIPE225000 環境名著選讀,Selected,Readings of Environmental Classics 	,"楊宗翰 YANG, CHUNG-HAN, 江天健 CHIANG, TIEN-CHIEN",6,85.83,1.57
11110KIPE300100 畢業專題,Thesis,	,"指導教授 ",44,3.95,0.70
11110KIPE300400 跨領域學習評量設計,Learning,Assessment for Interdisciplinary Education 	,"郭哲宇 KUO, CHE-YU",3,91.33,1.25
11110KIPE323100 環境史,Environmental,History 	,"江天健 CHIANG, TIEN-CHIEN",8,82.25,6.02
11110KIPE423400 文化遺產與永續發展,Cultural,Heritage and Sustainable Development 	,"榮芳杰 RONG, FANG-JAY",6,87.17,1.21
11110KLST510101 學習科學基礎,Foundations,of Learning Sciences 	,"曾正宜 TZENG, JENG-YI",26,3.82,0.22
11110KLST520100 書報討論一,Seminar(I),	,"廖冠智 LIAO, GUAN-ZE",24,84.75,2.03
11110KLST610100 網路學習理論與實踐,Theory,and Practice of Network Learning 	,"王鼎銘 WANG, DING-MING",11,89.18,1.03
11110KLST610400 英文學術論文寫作概論,Introduction,to Academic Writing in English 	,"徐憶萍 HSU, ANGELA YI-PING",14,4.04,0.15
11110KLST610500 自主學習研究,Self-directed,Learning 	,"廖冠智 LIAO, GUAN-ZE",14,85.93,1.03
11110KLST610600 實習,Internship,	,"廖冠智 LIAO, GUAN-ZE",6,88.67,1.37
11110KLST620100 學習環境設計,Design,of Learning Environments 	,"許有真 HSU, YU-CHEN",11,4.05,0.25
11110KLST620600 APP設計與教育應用,APP,Design and Educational Applications 	,"唐文華 TANG, WEN-HUA",14,4.30,0.00
11110KLST620900 學習科技應用與研發二,Applications,and Implementations of Learning Technologies II 	,"許有真 HSU, YU-CHEN",5,4.18,0.15
11110KLST621100 數位訊息設計,Digital,Message Design 	,"計惠卿 JIH, HUEY-CHING",3,88.33,4.64
11110KLST630300 教學與學習設計,Design,for Instruction and Learning 	,"計惠卿 JIH, HUEY-CHING",4,90.00,5.05
11110KLST640100 大數據資料分析,Big,Data Analytics 	,"區國良 OU, KUO-LIANG",24,88.79,2.43
11110KLST640200 大數據在教育的應用,Big,data in Education 	,"王鼎銘 WANG, DING-MING",16,89.06,1.64
11110KLST640300 設計於學習之研究方法,Research,Methods in Design for Learning 	,"朱如君 CHU, JU-CHUN",11,4.22,0.18
11110KLST640400 新素養、內容分析與文本探勘,New,Literacies,Content Analysis,and Text Mining 	,"陳素燕 CHEN, SU-YEN",12,4.15,0.15
11110KLST640600 成人學習理論與實務,Theory,and Practice of Adult Learning 	,"王鼎銘 WANG, DING-MING",12,89.08,1.44
11110KMS 500100,教育研究法,Education Research Methodology 	,"王姿陵 WANG, TZU-LING",21,87.86,3.03
11110KMS 510100,專題討論一,Colloquium I 	,"林勇吉 LIN, YUNG-CHI",13,87.85,2.07
11110KMS 510200,專題討論二,Colloquium (Ⅱ) 	,"林勇吉 LIN, YUNG-CHI",14,85.43,2.23
11110KMS 520400,數學學習心理學,Psychology of Learning Mathematics 	,"蔡文煥 TSAI, WEN-HUAN",13,89.00,1.30
11110KMS 520700,數學課程研究,Studies of Mathematical Curricular Development 	,"林勇吉 LIN, YUNG-CHI",24,89.75,0.66
11110KMS 521200,基礎數學,Basic Mathematics 	,"陳正忠 CHEN, JENG-CHUNG",5,4.24,0.12
11110KMS 521300,數學思維與推理認知發展,Cognitive Development of Mathematical Thinking and Reasoning 	,"許慧玉 HSU, HUI-YU",20,87.05,4.19
11110KMS 521400,數學雙語教學的課程設計,Curricular Design of Bilingual Teaching in Mathematics 	,"林碧珍 LIN, PI-JEN",13,91.62,2.20
11110KMS 540800,數學玩具設計研究專題,Topics in Mathematics Toy Design 	,"陳正忠 CHEN, JENG-CHUNG",22,4.27,0.09
11110KMS 610100,專題討論一,Colloquium I 	,"王姿陵 WANG, TZU-LING",8,88.63,1.80
11110KMS 610200,專題討論二,Colloquium (Ⅱ) 	,"王姿陵 WANG, TZU-LING",11,88.00,2.30
11110KMS 610300,科學教育導論,Introduction to Science Education 	,"林裕仁 LIN, YU-REN",8,87.13,2.32
11110KMS 621200,教育科技在科學教育上的應用,Educational Technology in Science Education 	,"鄭嘉惠 CHENG, CHIA-HUI",18,87.11,1.20
11110KMS 630800,科學課程研究專題,Topics in Science Curriculum 	,"鄭嘉惠 CHENG, CHIA-HUI",13,88.85,1.35
11110KMS 631400,科學創造力教學,Teaching for Scientific Creativity 	,"林裕仁 LIN, YU-REN",9,85.67,5.96
11110KMSN500100 教育研究法,Education,Research Methodology 	,"蔡文煥 TSAI, WEN-HUAN",13,89.15,0.86
11110KMSN531100 數學素養導向教學,Study,of Mathematics Literacy-oriented Teaching 	,"林碧珍 LIN, PI-JEN",20,91.30,2.43
11110KMSN621000 科學展覽之理論與實務,Theory,and Practice in Science Fair 	,"王姿陵 WANG, TZU-LING",9,89.22,2.20
11110KMSN630200 環境議題與教學,Environmental,Issues and Instruction 	,"蘇宏仁 SU, HUNG-JEN",4,84.75,1.79
11110KPC 110000,普通心理學一,Introduction to Psychology(I) 	,"李昆樺 LEE, KUN-HUA",89,82.53,5.46
11110KPC 120000,心理與教育統計一,Psychological and Educational Statistics (I) 	,"陳承德 CHEN, CHENG-TE",86,85.31,6.88
11110KPC 172000,生命議題與教育,Life Issues and Education 	,"何秀珠 HO,HSIU-CHU",20,90.15,3.15
11110KPC 172100,休閒教育,Leisure Education 	,"何軒盛 HO, HSUAN-SHENG",30,89.43,3.30
11110KPC 172200,家庭發展,Family Development 	,"葉致芬 YEH, CHIH-FEN",33,3.83,0.58
11110KPC 180200,專業定向與自我成長,Professional Orientation and Personal Growth 	,"鄭詩蓉 CHENG, SHIH-JUNG",33,88.18,1.83
11110KPC 210300,性格心理學,Personality Psychology 	,"張硯評 Chang, Yen-Ping",91,3.88,0.45
11110KPC 210400,認知心理學,Cognitive Psychology 	,"詹雨臻 CHAN, YU-CHEN",64,79.33,11.58
11110KPC 232000,教育心理學,Educational Psychology 	,"劉政宏 LIU, CHENG-HONG",47,3.64,0.70
11110KPC 242000,諮商與心理治療理論,Theories of Counseling and Psychotherapy 	,"賴憶鋅 LAI, YIHSIN",53,3.92,0.46
11110KPC 243100,多元文化輔導與諮商,Multicultural issues in counseling and guidance 	,"李姿瑩 LEE, TZU-YING",32,87.28,2.52
11110KPC 262200,人力資源管理,Human Resource Management 	,"張婉菁 CHANG, WAN-CHING",39,3.90,0.35
11110KPC 262400,行銷管理,Marketing Management 	,"許宜庭 HSU, YI-TING",39,89.64,3.03
11110KPC 282100,方案設計與評估,Project Design and Evaluation 	,"吳青蓉 WU,CHING-JUNG",18,89.56,4.74
11110KPC 310500,社會心理學,Social Psychology 	,"陳舜文 CHEN, SHUN-WEN",56,79.95,7.77
11110KPC 320300,心理與教育研究法,Research Methods in Psychology and Education 	,"高淑芳 KAO, SHU-FANG",45,85.47,3.38
11110KPC 322000,心理測驗實務,Practice of Psychological Testing 	,"王振世 WANG, CHEN-SHIH",17,4.01,0.32
11110KPC 332700,情緒心理學,Psychology of Emotion 	,"張硯評 Chang, Yen-Ping",14,3.64,0.50
11110KPC 342500,兒童與青少年輔導,Child and Adolescent Guidance 	,"施香如 SHIH, HSIANG-JU",19,89.26,3.52
11110KPC 352200,變態心理學,Abnormal Psychology 	,"劉子維 LIU, TZU-WEI",65,88.95,3.94
11110KPC 362600,訓練與發展,Training and Development 	,"傅淑英 FU, SHU YING",19,85.16,5.40
11110KPC 363000,員工關係,Employee Relations 	,"陳殷哲 CHEN, YIN-CHE, 王品惇 WANG, PIN-TUN",52,89.44,2.98
11110KPC 372600,生涯輔導與諮商,Career Guidance and Counseling 	,"張明敏 CHANG, MING-MIN",19,90.58,4.23
11110KPC 442900,輔導與諮商實習一,Guidance and Counseling Practicum(I) 	,"李昆樺 LEE, KUN-HUA",9,86.67,3.02
11110KPC 452500,心理諮詢理論與實務,Theory and Practice of Psychological Consultation 	,"林上能 LIN, SHANG NENG",22,92.23,4.56
11110KPC 452800,團隊領導與學習,Team Leadership and Learning 	,"張惟亮 CHANG, WEI-LIANG",21,90.48,2.95
11110KPC 463300,廣告與品牌管理,Advertising and Brand Management 	,"江旭新 CHIANG, HSU-HSIN",8,4.23,0.13
11110KPC 463800,工商產業實習二,Business Internship(II) 	,"蔡宏基 TSAI, HUNG-JI",14,91.71,2.34
11110KPC 472800,生涯與職業資訊分析與應用,Analysis and Application of Career and Occupational Information 	,"朱惠瓊 CHU, HUI-CHUANG, 陳殷哲 CHEN, YIN-CHE",10,90.90,0.94
11110KPC 482400,畢業專題二,Graduate Project II 	,"指導教授 ",32,88.88,5.31
11110KPC 523000,高等統計與套裝軟體,Advanced Statistics and Statistical Package 	,"王振世 WANG, CHEN-SHIH",10,3.95,0.51
11110KPC 542000,諮商與心理治療理論(研),Theories of Counseling and Psychotherapy 	,"林旖旎 LIN, YI-NII",21,4.20,0.14
11110KPC 552000,心理衛生研究,Seminar on Mental Health 	,"李昆樺 LEE, KUN-HUA",19,89.74,1.48
11110KPC 562900,訓練與發展專題,Seminar on Training and Development 	,"陳殷哲 CHEN, YIN-CHE",13,92.77,1.42
11110KPC 563200,工商心理專業實習,Professional Practice 	,"蔡宏基 TSAI, HUNG-JI",2,95.00,2.00
11110KPC 564400,服務科學專題,Seminar on Service Science 	,"江旭新 CHIANG, HSU-HSIN",17,4.25,0.11
11110KPC 582000,心理與諮商專業倫理,Professional Ethics in Psychology and Counseling 	,"朱春林 JU, CHUN-LIN",24,95.63,3.63
11110KPC 642401,諮商實習,Counseling Practicum 	,"施香如 SHIH, HSIANG-JU",11,88.27,1.76
11110KPC 642402,諮商實習,Counseling Practicum 	,"許育光 HSU, YU-KUANG",10,86.40,3.17
11110KPC 643301,諮商專業實習一,Counseling Internship(I) 	,"朱惠瓊 CHU, HUI-CHUANG",9,88.22,2.66
11110KPC 643302,諮商專業實習一,Counseling Internship(I) 	,"許育光 HSU, YU-KUANG",9,88.89,1.66
11110KPC 664200,行為決策專題,Seminar on Behavioral Decision Making 	,"高登第 KAO, TENG-TI",11,91.00,0.95
11110KPC 712000,高等發展心理學,Advanced Human Development 	,"陳伊慈 Chen, Eva E",7,92.29,5.23
11110KPC 720100,書報討論一,Seminar(I) 	,"李昆樺 LEE, KUN-HUA",47,91.45,1.14
11110KPC 734200,心智與大腦,Mind and Brain 	,"詹雨臻 CHAN, YU-CHEN",10,3.95,0.40
11110KPC 752000,心理病理學專題研究,Advanced Psychopathology Research 	,"李昆樺 LEE, KUN-HUA",10,89.10,1.76
11110KPC 762200,消費心理學專題,Seminar on Consumer Psychology 	,"高登第 KAO, TENG-TI",10,89.10,3.33
11110KPC 764000,人才管理專題,Seminar on Talent Management 	,"張婉菁 CHANG, WAN-CHING",25,4.08,0.22
11110KPC 834300,認知實驗專題,Seminar on Cognitive Experiment 	,"高淑芳 KAO, SHU-FANG",4,90.75,2.17
11110KPC 842900,遊戲治療專題,Seminar on Play Therapy 	,"施怡菱 SHIH, YI-LING",6,86.83,1.21
11110KPC 852400,兒童心理診斷與介入研究,Child Psychology Diagnosis & Intervention 	,"鍾宛玲 CHUNG, WAN-LING",11,84.36,2.64
11110KPC 890200,獨立研究一,Independent Study (I) 	,"指導教授 ",4,92.25,3.90
11110KPCN522000 社會科學研究法,Research,Methods in Social Science 	,"高淑芳 KAO, SHU-FANG",24,85.79,3.72
11110KPCN522100 高等統計,Advanced,Statistics 	,"張硯評 Chang, Yen-Ping, 陳承德 CHEN, CHENG-TE",12,89.83,6.50
11110KPCN522600 統計套裝軟體之應用,Application,of Statistical Package for Social Studies 	,"王振世 WANG, CHEN-SHIH",6,4.00,0.17
11110KPCN542000 諮商理論與技術專題,Seminar,on Theories and Skills of Counseling 	,"林旖旎 LIN, YI-NII",25,4.26,0.10
11110KPCN542600 學校輔導與諮商專題,Seminar,on School Guidance and Counseling 	,"盧怡任 LU, YI-JEN",15,88.27,3.21
11110KPCN542800 完形治療專題,Seminar,on Gestalt Therapy 	,"施香如 SHIH, HSIANG-JU",12,86.33,3.61
11110KPCN543900 國際與多元文化學生協助方案,Seminar,on International and Multicultural Student Programs 	,"許育光 HSU, YU-KUANG, 吳哲良 WU, CHE-LIANG",6,89.00,1.91
11110KPCN552000 兒童與青少年適應問題研究,Seminar,on Children and Adolescents Adjustment 	,"許育光 HSU, YU-KUANG",17,88.06,1.83
11110KPCN552200 正向心理學研究,Seminar,on Positive Psychology 	,"簡宏江 CHIEN, HUNG-CHIANG",24,92.63,2.94
11110KPCN562100 消費心理學專題,Seminar,on Consumer Psychology 	,"高登第 KAO, TENG-TI",15,90.27,1.84
11110KPCN563200 人才發展與管理專題,Seminar,on Talent Development and Management 	,"陳殷哲 CHEN, YIN-CHE",9,91.11,2.08
11110KPCN572000 性別議題與教育專題,Seminar,on Gender Issues and Education 	,"劉淑瀅 LIU, SHU-YING",20,3.99,0.50
11110KSEN500200 STEAM教學與學習理論研究,Study,on the Learning and Instruction Theories of STEAM Education 	,"王子華 WANG, TZU-HUA, 郭哲宇 KUO, CHE-YU, 蔡寶桂 TSAT,PAO-KUEI",15,90.00,2.48
11110KSEN500700 STEAM創新課程研發與設計,STEAM,Innovative Curriculum Development and Design 	,"許素朱 HSU, SU-CHU",22,4.02,0.27
11110KSEN600100 STEAM課程發展實務研究,Study,in Development and Practice of STEAM Education 	,"蔡寶桂 TSAT,PAO-KUEI",25,87.88,4.79
11110KSPE110200 早期介入概論,Introduction,to Early Intervention 	,"謝協君 HSIEH, HSIEH-CHUN",51,90.86,5.63
11110KSPE110300 智能障礙,Intellectual,Disability 	,"孫淑柔 SUN, SHU-JOU",53,87.06,4.98
11110KSPE110800 語言溝通法,Methods,of Oral Communication 	,"江源泉 CHIANG, YUAN-CHUAN",17,67.53,21.05
11110KSPE111000 視覺障礙,Visual,Impairment 	,"黃國晏 HUANG, KUO-YEN",37,4.10,0.33
11110KSPE130100 特殊教育導論,Introduction,to Special Education 	,"翁嘉遜 JASIN WONG",51,84.75,6.21
11110KSPE130500 兒童發展,Child,Development 	,"翁嘉遜 JASIN WONG",54,84.94,6.03
11110KSPE150800 幼兒體能與律動,Physical,Education and Movement for Young Children 	,"謝音琪 YINCHI HSIEH",27,87.37,7.82
11110KSPE210900 自閉症,Autism,	,"陳國龍 CHEN, KUO-LONG",48,3.39,0.83
11110KSPE211300 點字與視覺輔具,Braille,Learning and Assistive Technology for Children with Visual Impairment 	,"黃國晏 HUANG, KUO-YEN",13,4.15,0.30
11110KSPE211900 語言發展與矯治,Speech/Language,Development and Therapy 	,"許馨仁 HSU, HSIN-JEN",53,80.45,13.98
11110KSPE221400 資優學生心理輔導,Counseling,for Gifted Students 	,"黃澤洋 HUANG, TSE-YANG",40,3.69,0.60
11110KSPE230200 特殊教育學生評量,Evaluation,and Assessment of Exceptional Children 	,"孔淑萱 KUNG, SHU-HSUAN",41,85.24,9.48
11110KSPE250200 特殊幼兒教育,Special,Education for Young Children 	,"羅素琴 LO, SHU-CHIN",13,82.54,10.55
11110KSPE311500 身心障礙教材教法(1),Teaching,Materials and Methods for Children with Special Needs (1) 	,"謝協君 HSIEH, HSIEH-CHUN",36,88.81,5.84
11110KSPE311700 特殊教育課程調整與教學設計,Curriculum,Adaption and Instruction Design of Special Education 	,"李翠玲 LEE, TSUEY-LING",29,3.86,0.44
11110KSPE312500 親師合作與家庭支援,Parent-,Teacher Cooperation and Family Supports 	,"朱思穎 CHU, SZU-YIN",27,3.78,0.36
11110KSPE313000 閱讀障礙,Students,with Reading Disabilities 	,"王立志 WANG, LI-CHIH",8,87.75,4.18
11110KSPE313100 數學領域課程調整與教學,Mathematical,Curriculum Modification and Instruction 	,"陳國龍 CHEN, KUO-LONG",17,3.76,0.38
11110KSPE320500 資賦優異教材教法(1),Teaching,Materials and Methods for Gifted Children (1) 	,"黃澤洋 HUANG, TSE-YANG",16,3.64,0.68
11110KSPE321200 數學資優教育,Mathematics,Education for Gifted Students 	,"許志立 HSU, CHIH-LI",6,4.05,0.27
11110KSPE340900 教育議題專題,Special,Issues on Education 	,"詹鳳君 CHAN,FENG-CHUN",22,88.91,2.37
11110KSPE350700 幼兒藝術,Arts,for Young Children 	,"謝茵寧 HSIEH,YIN-NING",11,85.64,4.35
