Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11110BMES442100 生醫訊號與系統,Biomedical,Signals and Systems 	,"葉秩光 YEH, CHIH-KUANG",17,85.12,14.30
11110BMES500000 專題演講,Colloquium,	,"莊淳宇 CHUANG, CHUN-YU, 朱麗安 CHU, LI-AN",97,87.93,0.84
11110BMES511101 書報討論(一)-分子生醫工程與材料,Seminar(I)：Molecular,Biomedical Engineering and Materials 	,"莊淳宇 CHUANG, CHUN-YU",29,89.76,2.47
11110BMES511103 書報討論(一)-生醫影像工程,Seminar(I)：Biomedical,Imaging Engineering 	,"朱麗安 CHU, LI-AN",12,89.58,2.66
11110BMES512100 碩士班專題研究一,MS,Graduate Research (I) 	,"指導教授 ",37,4.13,0.26
11110BMES520100 分子生醫基礎,Introduction,to Molecular Biomedicine 	,"莊淳宇 CHUANG, CHUN-YU",18,88.61,7.56
11110BMES520200 生醫感測器,Biomedical,Sensors 	,"劉耕谷 LIU, KENG-KU",26,86.69,4.65
11110BMES523500 器官晶片與人工器官設計與應用,Design,and Application of Organ on a Chip and Bioartificial Organ 	,"李亦淇 LEE, I-CHI",36,85.08,5.36
11110BMES529100 生醫耦合化學,Bioconjugated,Chemistry 	,"俞鐘山 YU, CHUNG-SHAN",5,87.20,3.71
11110BMES544300 穿戴式生醫電子裝置設計,Design,of Wearable Biomedical Electronic Device 	,"王廷瑋 WANG, TING-WEI",9,93.33,3.65
11110BMES544500 醫學成像器材研發,Development,of Medical Imaging Instruments 	,"林曉均 Lin, Hsiao Chun",7,4.09,0.21
11110BMES545300 神經科學研究方法,Neuroscience,research methods 	,"朱麗安 CHU, LI-AN",9,95.11,2.42
11110BMES545500 精準醫學暨臨床應用,Clinical,applications of precision medicine 	,"楊晶安 YANG, CHIN-AN",7,89.43,2.50
11110BMES546300 生醫影像處理,Biomedical,Image Processing 	,"許靖涵 HSU, CHING-HAN",42,83.00,11.48
11110BMES546700 核磁共振影像原理及應用,Magnetic,Resonance Imaging Principles and Applications 	,"彭旭霞 PENG, HSU-HSIA",3,89.67,3.68
11110BMES548500 超音波與光學：生醫技術與應用,Ultrasound,and Optics : Biomedical Imaging Techniques and applications 	,"林曉均 Lin, Hsiao Chun",10,88.60,6.25
11110BMES611101 書報討論(二)-分子生醫工程與材料,Seminar(II)：Molecular,Biomedical Engineering and Materials 	,"莊淳宇 CHUANG, CHUN-YU",21,89.81,2.50
11110BMES611103 書報討論(二)-生醫影像工程,Seminar(II)：Biomedical,Imaging Engineering 	,"朱麗安 CHU, LI-AN",14,90.71,1.03
11110BMES711100 專題書報討論,Seminar,	,"劉耕谷 LIU, KENG-KU",21,4.14,0.70
11110BMES712100 博士班專題研究一,PhD,Graduate Research (I) 	,"指導教授 ",12,4.10,0.22
11110CHE 116000,化學工程導論,Introduction to Chemical Engineering 	,"蔡德豪 TSAI, DE-HAO",71,86.03,3.78
11110CHE 211001,工程數學一,Engineering Mathematics I 	,"呂世源 LU, SHIH-YUAN",34,80.32,17.36
11110CHE 211002,工程數學一,Engineering Mathematics I 	,"潘詠庭 PAN, YUNG-TIN",35,79.54,13.81
11110CHE 241001,物理化學一,Physical Chemistry (I) 	,"段興宇 TUAN, HSING-YU",26,77.58,20.72
11110CHE 241002,物理化學一,Physical Chemistry (I) 	,"王潔 WANG, JANE",33,83.39,8.09
11110CHE 301000,能源科技與環境概論,Introduction to Energy Technology and Environment 	,"段興宇 TUAN, HSING-YU",47,88.62,14.45
11110CHE 303001,化工熱力學,Chemical Engineering Thermodynamics 	,"陳信文 CHEN, SINN-WEN",37,72.86,22.89
11110CHE 303002,化工熱力學,Chemical Engineering Thermodynamics 	,"何榮銘 HO, RONG-MING",39,78.15,16.43
11110CHE 307001,化學反應工程,Chemical Reaction Engineering 	,"胡啟章 HU, CHI-CHANG",36,3.58,1.07
11110CHE 307002,化學反應工程,Chemical Reaction Engineering 	,"楊東翰 YANG, TUNG-HAN",34,84.09,19.34
11110CHE 309001,儀器分析及實驗一,Instrumental Analysis and Lab.(I) 	,"堀江正樹 MASAKI HORIE",30,81.97,8.92
11110CHE 309002,儀器分析及實驗一,Instrumental Analysis and Lab.(I) 	,"劉英麟 LIU, YING-LING",30,80.33,11.84
11110CHE 352001,輸送現象及單元操作一,Transport Phenomena and Unit Operations(I) 	,"黃振煌 HUANG, JEN-HUANG",35,78.17,8.88
11110CHE 352002,輸送現象及單元操作一,Transport Phenomena and Unit Operations(I) 	,"陳信龍 CHEN, HSIN-LUNG",35,79.51,9.80
11110CHE 412000,材料科學,Materials Science 	,"陳信文 CHEN, SINN-WEN",13,3.71,0.86
11110CHE 415001,程序設計,Process Design 	,"汪上曉 WONG, SHANG-HSIAO",33,85.48,8.53
11110CHE 415002,程序設計,Process Design 	,"林育正 YU-JENG LIN",32,85.31,3.19
11110CHE 421001,單元操作實驗,Unit Operation Laboratory 	,"蔡德豪 TSAI, DE-HAO",32,87.31,1.31
11110CHE 421002,單元操作實驗,Unit Operation Laboratory 	,"潘詠庭 PAN, YUNG-TIN",29,87.45,2.57
11110CHE 455200,生物技術概論,Introduction to Biotechnology 	,"胡育誠 HU, YU-CHEN",87,84.24,12.95
11110CHE 485000,半導體材料與製造技術,Semiconductor Materials and Manufacturing Technology 	,"謝昌志 HSIEH,CHANG-JYH",33,84.12,10.11
11110CHE 495000,專題研究一,Research on special topics 	,"指導教授 ",4,4.15,0.26
11110CHE 496000,專題研究二,Research on special topics(Ⅱ) 	,"指導教授 ",28,4.26,0.11
11110CHE 500100,分子工程一,Molecular Engineering (I) 	,"周鶴修 CHOU, HO-HSIU",24,3.91,0.40
11110CHE 501000,高等化工熱力學,Advanced Chem. Engineering Thermodynamics 	,"林昆翰 LIN, KUN-HAN",9,3.96,0.29
11110CHE 503000,高等化學反應工程,Advanced Chemical Reaction Engineering 	,"衛子健 WEI, TZU-CHIEN",45,87.31,7.22
11110CHE 507000,化工原理一,Chemical Engineering Principles (I) 	,"蔡德豪 TSAI, DE-HAO",11,88.73,4.79
11110CHE 509000,書報討論,Seminar 	,"林昆翰 LIN, KUN-HAN",196,3.83,0.31
11110CHE 512100,石油化學工業,Petroleum Chemistry 	,"谷家嵩 ",46,3.89,0.43
11110CHE 512600,代謝工程與生質化學品概論,Metabolic Engineering and Renewable Chemical Production 	,"沈若樸 SHEN, CLAIRE-ROAPU",13,84.54,5.23
11110CHE 516500,溫室氣體減量技術,Greenhouse gas control technologies 	,"林育正 YU-JENG LIN",15,4.18,0.15
11110CHE 517000,高等程序控制,Advanced Process Control 	,"鄭西顯 JANG, SHI-SHANG",14,86.36,4.08
11110CHE 522500,小角度散射原理與應用,Principles and Applications of Small Angle Scattering 	,"陳信龍 CHEN, HSIN-LUNG",15,84.60,6.48
11110CHE 525000,化工中的數據科學與人工智慧,Data science and artificial intelligence in chemical engineering 	,"姚遠 YAO, YUAN",12,4.04,0.29
11110CHE 533000,同步輻射在物質結構上的應用,Synchrotron applications in structural analysis 	,"鄭有舜 JENG, U-SER",14,85.36,23.89
11110CHE 541200,人工器官與組織工程,Artificial Organs and Tissue Engineering 	,"宋信文 SUNG, HSING-WEN",21,3.88,0.58
11110CHE 545400,高等高分子化學,Advanced Polymer Chemistry 	,"劉英麟 LIU, YING-LING, 堀江正樹 MASAKI HORIE",27,82.00,9.96
11110CHE 554000,微流體系統於化工之應用與實作,Microfluidic System: Application and Implementation in Chemical Engineering 	,"黃振煌 HUANG, JEN-HUANG",24,90.58,1.38
11110CHE 579500,有機光電,Organic Electronics 	,"陳壽安 CHEN, SHOW-AN",6,3.80,0.14
11110CHEM100000 普通化學乙,General,Chemistry (B) 	,"王育恒 WANG, YU-HENG",163,3.37,1.20
11110CHEM101001 普通化學一,General,Chemistry (I) 	,"廖文峯 LIAW, WEN-FENG",149,78.62,12.58
11110CHEM101002 普通化學一,General,Chemistry (I) 	,"洪嘉呈 HORNG, JIA-CHERNG",180,1.89,1.33
11110CHEM101003 普通化學一,General,Chemistry (I) 	,"黃國柱 HWANG, KUO-CHU",163,74.20,14.52
11110CHEM101004 普通化學一,General,Chemistry (I) 	,"楊自雄 YANG, TZUHSIUNG",58,70.66,22.15
11110CHEM103001 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",59,83.49,7.29
11110CHEM103002 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",60,77.88,10.10
11110CHEM103003 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",56,82.75,5.94
11110CHEM103004 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",71,82.35,5.66
11110CHEM103005 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",65,86.72,4.49
11110CHEM103006 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",63,83.03,4.76
11110CHEM103007 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",57,84.28,4.85
11110CHEM103008 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",57,81.30,6.98
11110CHEM103009 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",54,80.22,6.25
11110CHEM103010 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",53,78.26,4.78
11110CHEM103011 普通化學實驗一,General,Chemistry Laboratory (I) 	,"廖翊雅 LIAO, YI-YA",50,81.84,5.64
11110CHEM221001 有機化學一,Organic,Chemistry (I) 	,"林俊成 LIN, CHUN-CHENG",93,2.61,1.31
11110CHEM221002 有機化學一,Organic,Chemistry (I) 	,"汪炳鈞 UANG, BIING-JIUN",175,67.85,18.70
11110CHEM223001 有機化學實驗一,Organic,Chemistry Laboratory(I) 	,"林芳齡 LIN,FANG-LING",34,85.62,3.48
11110CHEM223002 有機化學實驗一,Organic,Chemistry Laboratory(I) 	,"林芳齡 LIN,FANG-LING",35,86.26,3.56
11110CHEM223003 有機化學實驗一,Organic,Chemistry Laboratory(I) 	,"林芳齡 LIN,FANG-LING",35,85.34,3.08
11110CHEM223004 有機化學實驗一,Organic,Chemistry Laboratory(I) 	,"林芳齡 LIN,FANG-LING",33,84.42,4.55
11110CHEM241001 物理化學一,Physical,Chemistry (I) 	,"鄭博元 CHENG, PO-YUAN",96,70.41,20.73
11110CHEM293000 應用數學,Applied,Mathematics 	,"周佳駿 CHOU, CHIA-CHUN",85,76.52,12.04
11110CHEM310000 有機化學三,Organic,Chemistry(III) 	,"陳建添 CHEN, CHIEN-TIEN",40,76.05,18.42
11110CHEM311000 分析化學一,Analytical,Chemistry (I) 	,"陳貴通 TAN, KUI THONG",84,70.86,16.34
11110CHEM313001 分析化學實驗一,Analytical,Chemistry Laboratory (I) 	,"廖英孝 LIAO, YING-HSIAO",20,3.87,0.47
11110CHEM313002 分析化學實驗一,Analytical,Chemistry Laboratory (I) 	,"廖英孝 LIAO, YING-HSIAO",36,3.68,0.56
11110CHEM331000 無機化學一,Inorganic,Chemistry (I) 	,"王育恒 WANG, YU-HENG, 黃暄益 ",黃暄益,80,73.66
14.69 11110CHEM343000,物理化學三,Physical Chemistry (III) 	,"楊家銘 YANG, CHIA-MIN",25,73.00,17.44
11110CHEM345001 物理化學實驗二,Physical,Chemistry Laboratory (II) 	,"莊晴如 CHUANG, CHING-JU",32,3.91,0.32
