Course ID,Cource Chinese Name,Course English Name,Teacher Chinese Name,Teacher English Name,Max Student Number,GPA,Standard Deviation
11120CHEM104007 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",56,82.91,6.54
11120CHEM104008 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",53,75.40,8.85
11120CHEM104009 普通化學實驗二,General,Chemistry Laboratory (II) 	,"廖翊雅 LIAO, YI-YA",53,79.15,5.67
11120CHEM222001 有機化學二,Organic,Chemistry (II) 	,"陳建添 CHEN, CHIEN-TIEN",93,87.46,14.40
11120CHEM222002 有機化學二,Organic,Chemistry (II) 	,"王聖凱 WANG, SHENG-KAI",159,2.98,1.24
11120CHEM224001 有機化學實驗二,Organic,Chemistry Laboratory (II) 	,"林芳齡 LIN,FANG-LING",35,84.49,3.23
11120CHEM224002 有機化學實驗二,Organic,Chemistry Laboratory (II) 	,"林芳齡 LIN,FANG-LING",35,85.69,3.58
11120CHEM224003 有機化學實驗二,Organic,Chemistry Laboratory (II) 	,"林芳齡 LIN,FANG-LING",35,85.11,2.34
11120CHEM224004 有機化學實驗二,Organic,Chemistry Laboratory (II) 	,"林芳齡 LIN,FANG-LING",28,85.68,3.02
11120CHEM242000 物理化學二,Physical,Chemistry (II) 	,"朱立岡 CHU, LI-KANG",109,73.86,17.45
11120CHEM244001 物理化學實驗一,Physical,Chemistry Laboratory (I) 	,"莊晴如 CHUANG, CHING-JU",35,3.89,0.27
11120CHEM244002 物理化學實驗一,Physical,Chemistry Laboratory (I) 	,"莊晴如 CHUANG, CHING-JU",36,3.89,0.29
11120CHEM244003 物理化學實驗一,Physical,Chemistry Laboratory (I) 	,"莊晴如 CHUANG, CHING-JU",36,3.87,0.28
11120CHEM244004 物理化學實驗一,Physical,Chemistry Laboratory (I) 	,"莊晴如 CHUANG, CHING-JU",35,3.89,0.31
11120CHEM292000 化學數學,Mathematics,for Chemistry 	,"江昀緯 CHIANG, YUN-WEI",43,84.65,14.27
11120CHEM312000 分析化學二,Analytical,Chemistry (II) 	,"鄂本帕偉 URBAN, PAWEL LUKASZ",82,82.82,10.17
11120CHEM314001 分析化學實驗二,Analytical,Chemistry Laboratory (II) 	,"廖英孝 LIAO, YING-HSIAO",33,3.78,0.42
11120CHEM314002 分析化學實驗二,Analytical,Chemistry Laboratory (II) 	,"廖英孝 LIAO, YING-HSIAO",31,3.85,0.59
11120CHEM326000 光譜分析,Spectroscopic,Analysis 	,"游景晴 YU, CHING-CHING",24,74.83,17.30
11120CHEM328000 當代化學論壇,Contemporary,Research in Chemistry 	,"王育恒 WANG, YU-HENG",44,86.07,10.74
11120CHEM329001 光譜分析實驗,Spectroscopic,Analysis Laboratory 	,"陳建添 CHEN, CHIEN-TIEN",28,83.75,7.33
11120CHEM332000 無機化學二,Inorganic,Chemistry (II) 	,"蔡易州 TSAI, YI-CHOU",96,59.74,16.81
11120CHEM453000 有機反應與合成,Organic,Reactions and Syntheses 	,"胡紀如 HWU, JIH-RU",6,90.50,4.35
11120CHEM463000 書報討論二(有機無機組),Seminar-Organic,and Inorganic Divisions (II) 	,"劉瑞雄 LIU, JUI-HSIUNG",27,88.26,2.98
